flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23445963609,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","756",,Apple,iPhone 6s,4.200000000000000,"0",104.065671600000002,394.202702699999975
23445963299,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","677",,Apple,iPhone 6s,4.200000000000000,"0",154.902343800000011,408.312377200000014
23187126943,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5792",,Apple,iPhone 6s,4.200000000000000,"0",213.183574899999996,408.134751800000004
23705501752,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5691",,Apple,iPhone 6s,4.200000000000000,"0",228.280821900000007,408.718592999999998
23518233420,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","661",,Apple,iPhone 6s,4.200000000000000,"0",319.492592600000023,408.525974000000019
23705500232,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5715",,Apple,iPhone 6s,4.200000000000000,"0",3.235748219000000,407.580562699999973
23185793154,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","734",,Apple,iPhone 6s,4.200000000000000,"0",197.528273799999994,407.580562699999973
23445957449,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","598",,Apple,iPhone 6s,4.200000000000000,"0",316.958466499999986,408.238636400000019
23518230080,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","636",,Apple,iPhone 6s,4.200000000000000,"0",317.981171500000016,408.238636400000019
23185791654,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5651",,Apple,iPhone 6s,4.200000000000000,"0",312.430894299999977,404.010416700000007
23787817756,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5831",,Apple,iPhone 6s,4.200000000000000,"0",67.525787969999996,404.010416700000007
23787815426,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5631",,Apple,iPhone 6s,4.200000000000000,"0",72.989561589999994,404.010416700000007
23787815006,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","707",,Apple,iPhone 6s,4.200000000000000,"0",332.193069299999991,404.010416700000007
23787814606,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","753",,Apple,iPhone 6s,4.200000000000000,"0",324.719008299999985,404.010416700000007
23731457471,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5738",,Apple,iPhone 6s,4.200000000000000,"0",242.737752199999989,404.010416700000007
23445951729,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5807",,Apple,iPhone 6s,4.200000000000000,"0",12.966981130000001,404.010416700000007
23445950369,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5658",,Apple,iPhone 6s,4.200000000000000,"0",314.066772700000001,401.372262799999987
23445949639,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","604",,Apple,iPhone 6s,4.200000000000000,"0",31.599118940000000,401.372262799999987
