osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"23405479","5124",pedestrian,Rue Saint-Laurent,,B,"0","0",F,F,95.111078544186185,126.863168044571992,"138"
"23405483","5122",residential,Rue Mauborget,,B,"50","0",F,F,104.190629650885370,216.690410928701255,"208"
"23405497","5115",tertiary,Avenue Jean-Jacques Mercier,,B,"50","0",F,F,202.525820084687268,96.639048790071286,"100"
"23406778","5155",steps,Escaliers Marc-Louis-Arlaud,,B,"0","0",F,F,19.760843961669927,345.535868218952260,"350"
"23406780","5155",steps,Escaliers Marc-Louis-Arlaud,,B,"0","0",F,F,14.752748970493244,34.275500799647553,"26"
"23406794","5141",service,Parking Riponne,,F,"0","0",F,F,54.537644032889744,224.204545004535134,"214"
"23406834","5141",service,Parking Riponne,,F,"0","0",F,F,14.306804889047243,262.448175651610995,"260"
"23406875","5124",pedestrian,Rue Grand-Saint-Jean,,B,"0","0",F,F,107.382515274121118,285.852864227172915,"293"
"23406904","5124",pedestrian,Ruelle Grand-Saint-Jean,,B,"0","0",F,F,67.747391343713943,106.988144885033122,"114"
"23406933","5141",service,Place Centrale,,F,"0","0",F,F,106.832797957237347,253.137872545753481,"247"
"23406965","5113",primary,Rue Centrale,"1",B,"50","0",F,F,59.968217844491569,75.605732525944376,"70"
"23406978","5124",pedestrian,Passerelle du Grand-Pont,,B,"0","1",F,F,21.575655527674716,204.659563051737280,"198"
"23406991","5113",primary,Place de l'Europe,"1",F,"50","0",F,F,18.974157990684851,301.144571844713425,"312"
"23407006","5141",service,Parking Montbenon,,B,"0","0",F,F,10.254091549424562,209.212050406392791,"202"
"23407008","5141",service,Parking Montbenon,,B,"0","-1",F,T,212.603244812782776,235.361971072387547,"225"
"23407480","5141",service,Parking Montbenon,,B,"0","0",F,F,13.119173474159652,211.114421448176984,"203"
"23407531","5114",secondary,Pont Chauderon,,B,"50","1",T,F,164.154550905313528,214.936560832884197,"206"
"23407536","5115",tertiary,Rue de la Vigie,,B,"50","0",F,F,97.397192437763039,357.738206106224595,"359"
"23407537","5115",tertiary,Rue de la Vigie,,B,"50","0",F,F,93.600341516202974,62.242128901062564,"53"
"23412878","5115",tertiary,,,B,"50","0",F,F,83.722396696723024,0.000000000000000,
"23412958","5122",residential,Chemin du Languedoc,,B,"0","0",F,F,7.363856009342351,57.016135336428462,"47"
"23412989","5133",primary_link,Tunnel de Chauderon,"9",F,"50","-1",F,T,84.319566742187561,289.907000789858841,"298"
"23413005","5153",footway,Passage des Jumelles,,B,"0","0",F,F,9.712487049527233,176.456436704269294,"178"
"23413104","5155",steps,Passage des Jumelles,,B,"0","0",F,F,17.549123397944392,285.895892285042805,"293"
"23643696","5122",residential,Avenue Édouard-Dapples,,B,"0","0",F,F,192.672464465910878,108.232223809862091,"116"
"23647002","5122",residential,Chemin de Montelly,,B,"30","0",F,F,564.953316563994463,110.415856650982903,"119"
"23647011","5115",tertiary,Chemin du Reposoir,,B,"50","0",F,F,121.433210459165252,46.990391172369137,"37"
"23647013","5122",residential,Chemin de Fontenay,,F,"30","0",F,F,93.623807775358841,212.894615294486186,"205"
"23656160","5141",service,,,F,"0","-1",F,F,16.323657270754090,57.257864012000724,"48"
"23664624","5141",service,Avenue de la Gare,,B,"0","0",F,F,133.055265034762016,302.258164552188248,"313"
"23747075","5115",tertiary,Route de Montheron,,B,"50","0",F,F,27.141085352386529,242.375593112706298,"233"
"23837898","5113",primary,Route de Neuchâtel,"5",F,"80","0",F,F,35.109024297257982,172.145708188162558,"175"
"23838927","5113",primary,Avenue d'Echallens,"9",B,"50","0",F,F,89.144750826180996,299.033996959205354,"309"
"23873629","5122",residential,Rue Saint-Roch,,B,"30","0",F,F,213.335191568898694,288.793100586104401,"297"
"23873631","5122",residential,Rue Saint-Roch,,F,"30","0",F,F,77.544498116105373,217.209920337024840,"208"
"23873636","5122",residential,Rue du Petit-Rocher,,B,"50","0",F,F,88.122927622484440,38.124727418988314,"29"
